Creating 500 baboon threads...

Crossed: 297   | Waiting [E]: 352   | --->  1     | Waiting [W]: 350  
Crossed: 298   | Waiting [E]: 351   | <---  1     | Waiting [W]: 350  
Crossed: 300   | Waiting [E]: 351   | --->  0     | Waiting [W]: 349  
Crossed: 301   | Waiting [E]: 350   | <---  0     | Waiting [W]: 349  
Crossed: 301   | Waiting [E]: 350   | --->  1     | Waiting [W]: 348  
Crossed: 302   | Waiting [E]: 349   | <---  1     | Waiting [W]: 348  
Crossed: 304   | Waiting [E]: 349   | --->  0     | Waiting [W]: 347  
Crossed: 304   | Waiting [E]: 348   | <---  1     | Waiting [W]: 347  
Crossed: 306   | Waiting [E]: 348   | --->  0     | Waiting [W]: 346  
Crossed: 307   | Waiting [E]: 346   | <---  1     | Waiting [W]: 346  
Crossed: 309   | Waiting [E]: 346   | --->  0     | Waiting [W]: 345  
Crossed: 309   | Waiting [E]: 345   | <---  1     | Waiting [W]: 345  
Crossed: 310   | Waiting [E]: 345   | --->  1     | Waiting [W]: 344  
Crossed: 311   | Waiting [E]: 344   | <---  1     | Waiting [W]: 344  
Crossed: 312   | Waiting [E]: 344   | --->  2     | Waiting [W]: 342  
Crossed: 315   | Waiting [E]: 343   | <---  0     | Waiting [W]: 342  
Crossed: 315   | Waiting [E]: 341   | <---  2     | Waiting [W]: 342  
Crossed: 317   | Waiting [E]: 341   | --->  2     | Waiting [W]: 340  
Crossed: 320   | Waiting [E]: 340   | <---  0     | Waiting [W]: 340  
Crossed: 320   | Waiting [E]: 339   | <---  1     | Waiting [W]: 340  
Crossed: 322   | Waiting [E]: 339   | --->  0     | Waiting [W]: 339  
Crossed: 322   | Waiting [E]: 338   | <---  1     | Waiting [W]: 339  
Crossed: 324   | Waiting [E]: 338   | --->  0     | Waiting [W]: 338  
Crossed: 325   | Waiting [E]: 337   | <---  0     | Waiting [W]: 338  
Crossed: 326   | Waiting [E]: 336   | <---  0     | Waiting [W]: 338  
Crossed: 326   | Waiting [E]: 335   | <---  1     | Waiting [W]: 338  
Crossed: 328   | Waiting [E]: 335   | --->  2     | Waiting [W]: 335  
Crossed: 331   | Waiting [E]: 334   | <---  0     | Waiting [W]: 335  
Crossed: 332   | Waiting [E]: 334   | --->  0     | Waiting [W]: 334  
Crossed: 334   | Waiting [E]: 332   | <---  0     | Waiting [W]: 334  
Crossed: 334   | Waiting [E]: 331   | <---  1     | Waiting [W]: 334  
Crossed: 336   | Waiting [E]: 331   | --->  0     | Waiting [W]: 333  
Crossed: 336   | Waiting [E]: 330   | <---  1     | Waiting [W]: 333  
Crossed: 338   | Waiting [E]: 330   | --->  0     | Waiting [W]: 332  
Crossed: 338   | Waiting [E]: 329   | <---  1     | Waiting [W]: 332  
Crossed: 339   | Waiting [E]: 329   | --->  3     | Waiting [W]: 329  
Crossed: 342   | Waiting [E]: 328   | <---  1     | Waiting [W]: 329  
Crossed: 344   | Waiting [E]: 328   | --->  1     | Waiting [W]: 327  
Crossed: 345   | Waiting [E]: 327   | <---  1     | Waiting [W]: 327  
Crossed: 347   | Waiting [E]: 327   | --->  0     | Waiting [W]: 326  
Crossed: 347   | Waiting [E]: 326   | <---  1     | Waiting [W]: 326  
Crossed: 349   | Waiting [E]: 326   | --->  0     | Waiting [W]: 325  
Crossed: 349   | Waiting [E]: 325   | <---  1     | Waiting [W]: 325  
Crossed: 351   | Waiting [E]: 325   | --->  0     | Waiting [W]: 324  
Crossed: 352   | Waiting [E]: 323   | <---  1     | Waiting [W]: 324  
Crossed: 354   | Waiting [E]: 323   | --->  0     | Waiting [W]: 323  
Crossed: 354   | Waiting [E]: 322   | <---  1     | Waiting [W]: 323  
Crossed: 356   | Waiting [E]: 322   | --->  0     | Waiting [W]: 322  
Crossed: 357   | Waiting [E]: 321   | <---  0     | Waiting [W]: 322  
Crossed: 358   | Waiting [E]: 321   | --->  0     | Waiting [W]: 321  
Crossed: 358   | Waiting [E]: 320   | <---  1     | Waiting [W]: 321  
Crossed: 360   | Waiting [E]: 320   | --->  0     | Waiting [W]: 320  
Crossed: 360   | Waiting [E]: 317   | <---  3     | Waiting [W]: 320  
Crossed: 363   | Waiting [E]: 317   | --->  2     | Waiting [W]: 318  
Crossed: 366   | Waiting [E]: 316   | <---  0     | Waiting [W]: 318  
Crossed: 367   | Waiting [E]: 316   | --->  0     | Waiting [W]: 317  
Crossed: 367   | Waiting [E]: 315   | <---  1     | Waiting [W]: 317  
Crossed: 369   | Waiting [E]: 315   | --->  0     | Waiting [W]: 316  
Crossed: 370   | Waiting [E]: 315   | --->  0     | Waiting [W]: 315  
Crossed: 370   | Waiting [E]: 314   | <---  1     | Waiting [W]: 315  
Crossed: 371   | Waiting [E]: 314   | --->  2     | Waiting [W]: 313  
Crossed: 373   | Waiting [E]: 313   | <---  1     | Waiting [W]: 313  
Crossed: 375   | Waiting [E]: 313   | --->  0     | Waiting [W]: 312  
Crossed: 376   | Waiting [E]: 311   | <---  1     | Waiting [W]: 312  
Crossed: 377   | Waiting [E]: 310   | <---  1     | Waiting [W]: 312  
Crossed: 379   | Waiting [E]: 310   | --->  0     | Waiting [W]: 311  
Crossed: 380   | Waiting [E]: 309   | <---  0     | Waiting [W]: 311  
Crossed: 382   | Waiting [E]: 309   | --->  0     | Waiting [W]: 309  
Crossed: 383   | Waiting [E]: 308   | <---  0     | Waiting [W]: 309  
Crossed: 384   | Waiting [E]: 308   | --->  0     | Waiting [W]: 308  
Crossed: 385   | Waiting [E]: 307   | <---  0     | Waiting [W]: 308  
Crossed: 386   | Waiting [E]: 307   | --->  0     | Waiting [W]: 307  
Crossed: 387   | Waiting [E]: 305   | <---  1     | Waiting [W]: 307  
Crossed: 389   | Waiting [E]: 305   | --->  0     | Waiting [W]: 306  
Crossed: 390   | Waiting [E]: 304   | <---  0     | Waiting [W]: 306  
Crossed: 391   | Waiting [E]: 304   | --->  0     | Waiting [W]: 305  
Crossed: 391   | Waiting [E]: 303   | <---  1     | Waiting [W]: 305  
Crossed: 392   | Waiting [E]: 303   | --->  2     | Waiting [W]: 303  
Crossed: 394   | Waiting [E]: 302   | <---  1     | Waiting [W]: 303  
Crossed: 396   | Waiting [E]: 302   | --->  0     | Waiting [W]: 302  
Crossed: 396   | Waiting [E]: 301   | <---  1     | Waiting [W]: 302  
Crossed: 398   | Waiting [E]: 301   | --->  0     | Waiting [W]: 301  
Crossed: 399   | Waiting [E]: 299   | <---  1     | Waiting [W]: 301  
Crossed: 400   | Waiting [E]: 297   | <---  2     | Waiting [W]: 301  
